業界,概要文
ホテル・旅館業界の会社,「コートホテル」「ヴァリエホテル」といったホテルの運営を行っている。また、事業や経営に関してのコンサルティングも請け負う。その他、企業向けの研修を手掛けている。加えて、スキー場やゴルフ場などレジャー施設の運営も行う。
自動車部品・カー用品製造業界の会社,東海化成工業株式会社の子会社として、ウレタン発泡の材料技術および成形技術を用いて自動車用内装部品の製造を手掛けている。また、自動車制遮音部品の製造にも取り組む。その他、土木関連製品や寝装品用樹脂などの産業用品の製造にも携わっている。
高齢者向け福祉業界の会社,理学療法士によるリハビリや食事、入浴などの日常生活支援、点滴や在宅酸素など医師の指示に基づいた医療処置を行っている。また定期巡回や、随時対応型の訪問介護サービスも手掛けている。他にも、車椅子や特殊寝台、歩行器および移動リフトなどの福祉用具のレンタルを行う。
自動車部品・カー用品製造業界の会社,自動車及び自動二輪の部品販売を行っている。自社サイト「京葉パーツ」では自動車部品の他、芝刈り機や発電機等を販売する。またバイク用品サイトの「デジタルバイク」及びバイク用メーター専門サイトの「モトガジェット・ジャパン」の運営も行う。その他、実店舗としてバイク販売の「オートショップKEIYO」を営業する。
タクシー業界の会社,相互タクシーグループに所属するタクシー会社。京都観光案内を得意とし、官公庁や外資系企業などからの依頼も数多く受け負っている。ビジネス利用も多く、ハイヤーや運転業務請負の実績も多数。京都地区のタクシー会社として初のISO9001認証を取得している。
警備業界の会社,茨城県水戸市を拠点に、配電線工事に伴う交通誘導警備を手掛けている。
高齢者向け福祉業界の会社,高齢者の自立支援サービスとして、機能訓練を中心としたリハビリ型デイサービス「レコードブック」の運営を手掛ける。また、自立状態を継続するためのシルバーフィットネスサービス「Studio Red」の運営も行う。
タクシー業界の会社,タクシー事業を行っており、観光用のジャンボハイヤーや観光バスをはじめ、VIP送迎のための大型ハイヤーなどを保有。また、妊娠中や子育て中の女性向けにママサポートタクシーのサービスを行う他、タクシー代行運転も請負う。
タクシー業界の会社,仙台市内発コースや秋保発コースなどの観光コースにおいてタクシー運行を行っている。大型車のタクシー運行も請け負う。
ホテル・旅館業界の会社,「北こぶし知床ホテル&リゾート」の運営を行う。テラス露天付き洋室や展望和洋室等の客室を完備。また、ホテルに併設した「テラスダイニング波音」「Grill Shiretoko」等の飲食業や、「KIKI知床 ナチュラルリゾート」「知床 夕陽のあたる家 ONSEN HOSTEL」の運営も実施。
